statename,distname,YEAR,RAPE,CUSTODIAL RAPE,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE
Gujarat,Gandhinagar,2001,4,0,37,38,5,3,37,116,3
Gujarat,Himatnagar,2001,17,0,58,52,25,4,51,165,203
Gujarat,Jamnagar,2001,20,0,46,25,13,2,18,163,0
Gujarat,Junagadh,2001,14,0,97,122,14,11,44,384,162
Gujarat,Kheda North,2001,11,0,54,63,21,0,43,122,184
Gujarat,Kutch,2001,2,0,19,40,11,2,25,176,229
Gujarat,Mehsana,2001,4,0,47,90,15,5,47,188,152
Gujarat,Narmada,2001,8,0,3,15,11,0,7,9,42
Gujarat,Navsari,2001,2,0,43,19,6,0,6,17,0
Gujarat,Palanpur,2001,18,0,54,55,21,2,50,152,133
Gujarat,Panchmahal,2001,5,0,53,34,57,0,1,43,0
Gujarat,Patan,2001,3,0,52,29,12,0,23,78,81
Gujarat,Porbandar,2001,6,0,38,15,5,0,10,64,37
Gujarat,Rajkot Commr.,2001,5,0,56,71,9,3,19,199,82
Gujarat,Rajkot Rural,2001,20,0,172,44,21,2,45,206,197
Gujarat,Surat Commr.,2001,11,0,66,228,10,20,10,132,167
Gujarat,Surat Rural,2001,26,0,36,33,9,0,11,34,316
Gujarat,Surendranagar,2001,11,0,45,32,9,2,45,75,0
Gujarat,Vadodara Commr.,2001,3,0,104,182,7,0,11,90,153
Gujarat,Vadodara Rural,2001,18,0,67,56,10,0,34,81,170
Gujarat,Valsad,2001,9,0,50,37,12,0,10,50,0
Gujarat,W.Rly,2001,1,0,10,10,1,0,7,7,6
Gujarat,Total,2001,286,0,1748,1779,449,67,756,3667,2924
Haryana,Ambala,2001,11,0,13,76,11,11,27,132,0
Haryana,Bhiwani,2001,10,0,26,54,16,33,17,43,2
Haryana,Faridabad,2001,37,0,117,61,14,19,47,108,18
Haryana,Fatehabad,2001,17,0,1,52,6,17,17,93,1
Haryana,Grp,2001,0,0,1,3,0,5,1,0,7
Haryana,Gurgaon,2001,32,0,55,29,20,17,21,136,5
Haryana,Hissar,2001,10,0,23,159,8,24,33,117,4
Haryana,Jhajjar,2001,21,0,21,50,0,20,42,122,84
Haryana,Jind,2001,21,0,66,51,2,11,22,67,4
Haryana,Kaithal,2001,16,0,60,16,28,9,19,105,1
Haryana,Karnal,2001,44,0,20,59,11,18,28,97,187
Haryana,Kurukshetra,2001,31,0,20,130,4,10,28,68,0
Haryana,Mahendragarh,2001,11,0,34,9,21,8,19,23,2
Haryana,Panchkula,2001,6,0,22,19,2,4,23,43,73
Haryana,Panipat,2001,38,0,20,53,7,11,16,92,191
Haryana,Rewari,2001,11,0,10,19,23,12,17,14,0
Haryana,Rohtak,2001,28,0,18,58,10,17,26,41,144
Haryana,Sirsa,2001,17,0,14,43,6,12,23,98,1
Haryana,Sonipat,2001,15,0,10,43,8,18,22,51,132
Haryana,Yamunanagar,2001,22,0,5,32,6,9,30,63,0
Haryana,Total,2001,398,0,556,1016,203,285,478,1513,856
Himachal Pradesh,Bilaspur,2001,5,0,11,12,20,1,35,47,35
Himachal Pradesh,Chamba,2001,12,0,5,8,8,0,23,21,40
Himachal Pradesh,G.R.P.,2001,0,0,0,0,0,0,0,0,0
Himachal Pradesh,Hamirpur,2001,3,0,5,11,7,1,17,33,44
Himachal Pradesh,Kangra,2001,18,0,1,29,26,1,43,58,2
Himachal Pradesh,Kinnaur,2001,6,0,2,0,1,0,4,2,26
