statename,distname,YEAR,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,AUTO THEFT
Karnataka,Belgaum,2001,27,19,47,386,139
Karnataka,Bellary,2001,14,5,20,303,75
Karnataka,Bidar,2001,19,7,36,202,45
Karnataka,Bijapur,2001,24,5,21,202,34
Karnataka,Chamarajnagar,2001,5,1,9,133,20
Karnataka,Chickmagalur,2001,12,4,10,222,44
Karnataka,Chitradurga,2001,4,8,20,145,38
Karnataka,Dakshin Kannada,2001,9,1,8,219,109
Karnataka,Davanagere,2001,23,5,26,332,114
Karnataka,Dharwad Commr.,2001,8,5,34,245,99
Karnataka,Dharwad Rural,2001,3,3,5,38,1
Karnataka,Gadag,2001,4,4,13,55,16
Karnataka,Gulbarga,2001,35,10,61,268,55
Karnataka,Hassan,2001,17,5,23,268,59
Karnataka,Haveri,2001,12,7,10,111,21
Karnataka,K.G.F.,2001,12,4,6,108,19
Karnataka,Kodagu,2001,4,1,3,87,11
Karnataka,Kolar,2001,21,3,25,284,63
Karnataka,Koppal,2001,12,3,8,120,17
Karnataka,Mandya,2001,9,2,28,328,53
Karnataka,Mysore Commr.,2001,11,0,32,326,140
Karnataka,Mysore Rural,2001,14,0,0,200,16
Karnataka,Raichur,2001,11,4,13,150,46
Karnataka,Railways,2001,1,3,11,331,7
Karnataka,Shimoga,2001,14,1,15,292,100
Karnataka,Tumkur,2001,21,10,27,389,92
Karnataka,Udupi,2001,2,1,12,112,39
Karnataka,Uttar Kannada,2001,5,1,5,81,24
Karnataka,Total,2001,559,178,847,12868,4016
Kerala,Alapuzha,2001,8,2,18,195,109
Kerala,Cbcid,2001,2,1,1,5,0
Kerala,Ernakulam,2001,20,25,80,1264,294
Kerala,Idukki,2001,0,3,16,254,39
Kerala,Kannur,2001,12,1,18,213,75
Kerala,Kasargod,2001,4,32,9,145,79
Kerala,Kollam,2001,16,13,62,291,120
Kerala,Kottayam,2001,18,2,54,373,125
Kerala,Kozhikode,2001,12,28,15,428,153
Kerala,Malappuram,2001,17,6,11,340,157
Kerala,Palakkad,2001,14,11,30,315,120
Kerala,Pathanamthitta,2001,0,1,7,129,65
Kerala,Railways,2001,0,0,2,197,2
Kerala,Thrissur,2001,18,14,82,516,188
Kerala,Trivandrum,2001,41,32,104,636,244
Kerala,Wayanadu,2001,1,5,8,140,25
Kerala,Total,2001,183,176,517,5441,1795
Madhya Pradesh,Balaghat,2001,11,0,7,226,21
Madhya Pradesh,Barwani,2001,2,2,18,237,30
Madhya Pradesh,Betul,2001,19,0,18,246,33
Madhya Pradesh,Bhind,2001,47,3,28,283,25
Madhya Pradesh,Bhopal,2001,55,8,99,1351,425
Madhya Pradesh,Bhopal Rly.,2001,2,1,25,705,13
Madhya Pradesh,Chhatarpur,2001,28,4,42,163,0
Madhya Pradesh,Chhindwara,2001,18,0,18,239,66
Madhya Pradesh,Damoh,2001,18,3,24,188,20
Madhya Pradesh,Datiya,2001,25,3,26,103,12
Madhya Pradesh,Dewas,2001,20,10,67,677,115
Madhya Pradesh,Dhar,2001,22,6,35,651,72
Madhya Pradesh,Dindori,2001,2,0,2,44,7
Madhya Pradesh,Guna,2001,17,9,50,350,46
